,text,label,class
23,"Judging when to tighten, or loosen, the local economy has become the world’s most consequential guessing game, and each policymaker has his or her own instincts and benchmarks. The point when hospitals reach 70 percent capacity is a red flag, for instance; so are upticks in coronavirus case counts and deaths.",2,1
24,"A money market meltdown could be the best-selling disaster in the history of economic cycles. As the coronavirus stampeded across Europe and the rest of the world, the effects rippled far beyond the confines of the individual countries. The International Monetary Fund warned in a recent report that the global economy faces a daunting challenge ahead as a glut of vulnerable citizens.",3,1
25,The decision by British drug regulators to recommend against use of the coronavirus vaccine made by Pfizer and BioNTech in people who have a history of severe allergic reactions has raised a number of concerns.,1,1
26,"Blinking headlights and sirens across the dark blue waters of the Rio Grande, the long boat journey across the Caribbean to the port of El Salvador came to an end with a thud on Sunday night after a small peloton of rafts carrying relief supplies from the port of Laredo sank in the darkness of night, all lights off the boat were off.",3,1
27,"The aircraft carrier Theodore Roosevelt continued its monthslong fight against the novel coronavirus, with at least one sailor aboard the ship testing positive, according to crew members.",4,1
28,"As the two men sat in deck chairs enjoying the last rays of sunshine near the Canal de l’Ourcq in Paris on Sunday evening, nearby loudspeakers jolted them with a reminder that they were in a new mask-mandatory zone.",2,1
29,"South Africa has faced blow after blow to its pandemic-control efforts: A worrisome variant swept across the country, driving a devastating second wave of coronavirus cases. Then officials had to scramble for an alternative when the vaccine it had bet on, from AstraZeneca, proved ineffective against the variant, which can partially dodge the body’s immune system response.",0,0
30,"One month into his presidency, President Biden still has not named a candidate to head the Food and Drug Administration, a critical position at a time when new vaccines and coronavirus treatments are under the agency’s review.",3,1
31,"Just over one million Americans filed new claims for state jobless benefits last week, the latest sign that the economy is losing momentum just as federal aid to the unemployed has been pulled away.",0,0
32,"When Dray Farley was 15, he watched a video his favorite gamer had posted on YouTube. But it wasn’t about Call of Duty.",4,1
33,"Four months after a mysterious new virus began its deadly march around the globe, the search for a vaccine has taken on an intensity never before seen in medical research, with huge implications for public health, the world economy and politics.",2,1
34,"In Oregon, Gov. Kate Brown said the move toward reopening her state would be a cautious and incremental one, guided by data on transmission of the coronavirus, availability of personal protective equipment and testing capacity, among other factors.",2,1
35,"A week after he was hospitalized with Covid-19, President Trump is unlikely to return to the White House on Saturday, two people familiar with the events said.",3,1
36,"Over the last month, the Zoom videoconferencing service has emerged as the communication lifeline of the coronavirus pandemic. But the convenience fueling Zoom’s explosive popularity has come at a price.",3,1
37,"Every evening from his kitchen table in southwestern Denmark, Kim Geum-hyok stands behind the keyboard of his laptop, takes a seat in the front row of a small cafe and carefully removes his sunglasses before gazing at the ceiling. In his head, he can see the reflection of countless lenses fiddling with his face.",2,1
38,"Before this year, Wesley Yang had never celebrated with a real Christmas tree. Growing up, his family deemed it an inconvenience. But stuck at home this season, Mr. Yang and his roommate decided to do something different to mark the end of a tragic year, spending $90 on a tree and lugging it up three floors to their Los Angeles apartment.",0,0
39,"When they meet for their second and final debate on Thursday night, President Trump and Joseph R. Biden Jr. are expected to face questions over issues of deep consequence like the coronavirus, climate change and national security.",3,1
40,"When the pandemic hit and tens of millions of American workers suddenly redeployed to their basements and living rooms, it was easy to imagine that their workdays would unfold roughly as before, with communication tools like Slack and Zoom substituting for face-to-face interactions (and maybe with slightly greater multitasking opportunities).",2,1
41,"The Government Accountability Office on Thursday said it would not conduct a criminal inquiry into the qualifications of its employees as part of its coronavirus response, creating a gaping hole in its compliance strategy to ensure that economic fairness is prioritized throughout the workweek.",4,1
42,"The coronavirus vaccine made by Pfizer and BioNTech provides strong protection against Covid-19 within about 10 days of the start of the first dose, according to documents published on Tuesday by the Food and Drug Administration before a meeting of its vaccine advisory group.",1,1
43,"Catie McKee was nervous. It was last October, and the 31-year-old hedge fund analyst, who had been scrutinizing the mortgages on the nation’s malls, was convinced that some of those malls would default on their loans. She and her colleagues had even bet a substantial amount of money on that likelihood.",4,1
44,"Children are romping on playgrounds and riding bikes along tree-lined streets. The backyards are big enough for barbecues with the neighbors and the public schools are quality. Life is typically slower and gentler in the suburbs, away from the ruckus of dense urban areas.",3,1
45,"Some hospitals, short on heat or water, urgently raced to transfer their most critically ill patients elsewhere. Other hospitals were overflowing with patients injured in the winter storm or sickened during it, boarding them in hallways. At one hospital, the pipes burst, sending water spraying through the emergency room, while at another, patients were told to clean themselves with hand sanitizer and to stop showering in a desperate bid to conserve water.",0,0
46,"Citing a threat to Israeli democracy, opponents of Prime Minister Benjamin Netanyahu asked the Supreme Court on Sunday to block what they described as a power grab by the caretaker government under the guise of combating the coronavirus epidemic.",0,0
47,"In the waning days of the presidential race, some of the most divisive issues of the Jim Crow era are playing out, with protesters in Alabama fighting to stay on the grounds and others rallying their supporters outside. The tension, and the fears, will be immense. The potential for abuse, as well as the brutality of the machinery unleashed by Mr. Trump to suppress the vote.",4,1
48,"A conservative leadership expert at the World Health Organization has made unsubstantiated claims that the vaccine was unsafe after he was exposed to the virus, the first tests of which he has repeatedly pushed to protect health workers from infection.",2,1
49,"Two and a half hours after he was sworn in as the 45th president of the United States, President Trump started his inaugural address in a speech that reflected the changing dynamics of the country’s capital and its place in the nation’s history.",3,1
50,"The White House had not made public the results of President Trump’s latest coronavirus test, which he claims he took on Wednesday. But Mr. Trump, eager to prove he had fully recovered a week after being hospitalized for Covid-19, appeared briefly on Thursday at the White House and vowed to return to full strength, and his campaign advisers said he would make his return to the campaign trail on Saturday just weeks after his last major event, a rally in Michigan, when a large group of his supporters were expected to arrive.",3,1
51,"The drug maker Pfizer said on Friday that it had submitted an application to the Food and Drug Administration to authorize its coronavirus vaccine for emergency use, setting in motion what is likely to be a lengthy approval process.",3,1
52,"Vaccination rates are falling in the United States, despite the spread of highly contagious virus variants that are fueling a national caseload that remains high enough to underscore concerns of the potential for a new surge.",2,1
53,"As Adam Lisowski of the Baltimore sanitation workers union filed a lawsuit against the province last week, he expected to lose. He was discouraged from commuting from Kenya last month, but the trade restrictions stayed in effect because of the coronavirus pandemic.",4,1
54,"An air traffic control center that serves Dallas-Fort Worth International Airport was closed for several hours on Sunday night after some 25 passengers tested positive for the coronavirus, grounding flights at one of the world’s busiest hubs.",4,1
55,"A rescue operation to retrieve remains of the more than 2,000 people aboard the hijacked U.S.S. Mercy Mission in China has been slowed by the Chinese government, according to military officials. About half of the passengers and crew members wereees are still missing.",3,1
56,President Trump was infuriated that 14 American citizens who had tested positive for coronavirus were permitted to return this week to the United States as part of an accelerated effort to protect the country from the deadly threat of the coronavirus.,1,1
57,"Businesses are preparing to reopen across the country, and some are even reopening businesses that many thought would be axed by the end of the year. Riding the momentum, lawmakers in many states are now contemplating the prospect of another round of stimulus.",1,1
58,"On the brink of the pandemic, the lodging industry was hit particularly hard. As the national outbreak spread, other rental housing companies followed suit by cutting salaries, hours and base rents. For the long term, many homeowners were struggling to pay the rents and keep the house in there. Families became desperate for options and thousands of rental units closed their doors.",4,1
59,"As he headed off the ice after playing a hockey game in an amateur tournament in late March, the leader of Belarus brushed aside reporters’ anxious questions about the coronavirus pandemic.",0,0
60,"Neelam Kumari Gautam woke up on the morning of March 13, seven days after her baby had died of Covid-19. She had been suffering from mild headaches, a cough and a fever. When she finally fell asleep, her headache and chills set in, her body was ready to expel the virus.",1,1
61,"After weeks of criticism that Japan was bungling its reaction to the spread of the coronavirus, Prime Minister Shinzo Abe took the drastic step on Thursday of asking all the country’s schools to close for about a month.",2,1
62,"The City of San Antonio scaled back on Wednesday its immediate drop-off at a county courthouse for people to apply for voter registration, but not for a drop-off at a nearby community center.",4,1
63,"All through last year, as first Europe and then the United States suffered catastrophically high coronavirus infections and deaths, Pacific Rim countries staved off disaster through an array of methods. South Korea tested widely. Australia and New Zealand locked down. In Japan, people donned masks and heeded calls to isolate.",3,1
64,"Johnson & Johnson said Tuesday that it would resume the rollout of its coronavirus vaccine in Europe after the European Union’s drug regulator said that a warning should be added to the product indicating a possible link to rare blood clots, but that the shot’s benefits outweigh the risks.",3,1
65,"Standing in a packed amphitheater in front of Mount Rushmore for an Independence Day celebration, President Trump delivered a dark and divisive speech on Friday that cast his struggling effort to win a second term as a battle against a “new far-left fascism” seeking to wipe out the nation’s values and history.",3,1
66,"The vast majority of Palestinians living in the occupied territories have yet to be vaccinated against the coronavirus, setting off a rancorous debate about whether Israel has a duty to vaccinate Palestinians living under Israeli occupation.",3,1
67,"Vacationing abroad may not be possible for residents of Britain until all adults in the country have been vaccinated, a government official said on Wednesday, raising questions about how the tourism industry might cope with such restrictions and dashing hopes of many who hoped that a relatively successful vaccine rollout in Britain could let them enjoy trips abroad this summer.",0,0
68,"Democratic leaders plan to move this week to change the rules of the House of Representatives to allow lawmakers to cast votes remotely for the first time in its 231-year history, a major concession to the constraints created by the coronavirus pandemic.",0,0
69,"An economic downturn almost every bit as severe as the one facing the housing market right now would have a devastating impact on Starbucks, Target, Home Depot and other bargain-hunting retail giants.",4,1
70,"It’s becoming clear that the end of the presidential campaign is not in sight, and that the contest between President Trump and Joseph R. Biden Jr. will not only be decided by Sunday’s Super Bowl, but also one of the most pivotal weeks of any year.",1,1
71,"At 6:04 p.m. on Tuesday night, the staff at EvergreenHealth in Washington State got another warning: Two more patients with respiratory troubles were on their way to an emergency ward that had already been flooded with coronavirus patients.",0,0
72,"With the armed forces advancing against the Taliban in North Wazhou Province, Chinese state media on Saturday reported that on the ninth day of June, more than a dozen families in the city suffered from mild to moderate illness.",4,1
73,"President Trump’s refusal to concede the election has long alienated him from many conservatives, and especially Republicans in states across the country where the race to replace him is critical. Now, Mr. Trump has begun acknowledging that it is not what he had hoped for, and serious discussions of his legacy are therefore taking time away from the thrammy of campaigning.",4,1
74,"As a poorer, battered south asks a richer, frugal north for solidarity, you’d be forgiven for thinking the coronavirus is throwing Europe back into last decade’s economic catastrophe. You’d be wrong. This time is set to be far worse.",0,0
75,"China has come roaring back from the devastation of Covid-19, and the United States, Europe and Japan are finding their feet. But the hundreds of millions of laborers and shopkeepers who keep India’s economy running still can’t find relief.",1,1
76,"Weeks before there was evidence that the coronavirus was spreading in U.S. communities, Patricia Dowd, a 57-year-old auditor at a Silicon Valley semiconductor manufacturer, developed flulike symptoms and abruptly died in her San Jose kitchen, triggering a search for what had killed her. Flu tests were negative. The coroner was baffled. It appeared that she had suffered a massive heart attack.",3,1
77,"Wearing bathrobes, pajamas or whatever else they could quickly throw on their heads, hundreds of people flocked to get Covid vaccines in Seattle on Thursday night after a refrigerator that was chilling 1,600 doses broke down, leading to a frenzied overnight inoculation drive.",1,1
78,"Like millions of others across California, more than 20 people living together in San Mateo County will be eligible for the state’s first Covid-19 vaccine on Monday, along with the first 20 people in county. The announcement came a day after officials in Los Angeles expanded the vaccine’s scope to include people who are married and traveling to immunize others.",4,1
79,"For a campaign event featuring Donald Trump Jr., the brash-talking, liberal-dunking namesake of the president, it was all rather mundane.",1,1
80,"Senate Republicans on Tuesday began circulating text of a narrow coronavirus relief package that would revive extra unemployment benefits at half the original rate, shield businesses from lawsuits related to the virus and provide funding for testing and schools.",4,1
81,A Georgia state trooper escorted a Republican state lawmaker out of the House chamber in Atlanta on Tuesday after he refused to abide by the legislature’s coronavirus testing protocols.,3,1
82,"The Supreme Court on Thursday refused to exempt religious schools in Kentucky from an order from Gov. Andy Beshear that temporarily shut down all elementary, middle and high schools, whether public or private, in an effort to combat the coronavirus pandemic.",3,1
83,"I drove past a mini mall the other day in my hometown, Commack, N.Y., where my favorite Indian buffet, Kiraan Palace, once stood. My brother, Ravi, and I used to spend almost every Saturday afternoon as teenagers at the corner table, closest to the buffet line, while our regular waiter refilled baskets of garlic naan at our table every 20 minutes. While most of our friends were eating at the pizza place up the block or scarfing down hot dogs at Nathan’s across the street, we held court at our unusual hangout because it felt most like home. And when it closed a few years later, we made sure to find a new refuge.",2,1
84,"Amid falling coronavirus case rates and rising numbers of inoculations, California officials are easing what have for months been some of the nation’s most stringent lockdowns.",0,0
85,"Britain’s desperate attempt to curb a second wave of the coronavirus has exposed multiple fractures in its politics and society, but perhaps none as jagged as that between Prime Minister Boris Johnson and the mayor of London, Boris Johnson. Mr. Johnson has tried to frame the election as a choice between keeping the pandemic at bay while simultaneously satisfying his lifelong ambition of becoming a super-power.",2,1
86,"North Korea’s leader, Kim Jong-un, offered a rare apology on Friday for the killing of a South Korean government official at sea by soldiers from the North, South Korea said.",1,1
87,"Rain is not in the forecast for President-elect Joseph R. Biden’s inauguration on Wednesday, but uncertainty, sowed by his opponent’s refusal to fully embrace the pro-worker agenda, will cloud the proceedings.",1,1
88,"When the federal government began rushing trillions of dollars of assistance to Americans crushed by the coronavirus pandemic, the hope was that some of the aid would allow businesses to keep workers on the payroll and cushion employees against job losses.",1,1
89,"The travelers arriving at Helsinki’s airport may have a better chance of meeting their match, the Finnish government said on Friday, if they are of Asian descent and speak a little more Finnish.",3,1
90,"President Trump’s response to the coronavirus has been an ever-changing disaster. As his administration struggled to shore up supplies of masks and other protective equipment, Mr. Trump had been seen earlier this month offering to supply the American public with more than a basic “good evening” greeting.",4,1
91,Scott Thiel can’t remember the last time BlackRock Investment Institute had a positive view on European stocks. It’s been that long.,3,1
92,"A small outbreak of a contagious virus has spread through the sprawling metropolis of Shijiazhuang, China, killing at least 13 people and demanding a broader investigation into the origin of the outbreak.",4,1
93,"Ash fell from an apocalyptic orange sky as Jennifer Willin drove home last week from the only school in tiny Berry Creek, Calif., where she had picked up a pair of Wi-Fi hot spots for her daughters’ remote classes. Hours later, her cellphone erupted with an emergency alert: Evacuate immediately.",1,1
94,"As soon as she heard about a cluster of coronavirus cases at the Tyson pork processing plant on the edge of Columbus Junction, Iowa, Cindy Johnston felt a ripple effect through her small community along the Iowa River.",0,0
95,"Obesity may be one of the most important predictors of severe coronavirus illness, new studies say. It’s an alarming sign that the pandemic is gaining on the nation’s overweight citizens, forcing many to remain indoors and to bulk up their diets in hopes of avoiding the virus.",3,1
96,"On March 23, as the coronavirus pandemic put grocery workers on the front lines of a public health crisis, Trader Joe’s sent a memo to store managers encouraging them to relay a message to employees: Joining a union might be a bad idea.",0,0
97,"including the championship finals, which started this week between the Los Angeles Lakers and the Miami Heat.",0,0
98,"The wrangling on Capitol Hill over a $1.8 trillion package of measures to aid the stalling economy continued on Monday, after Democrats again blocked a version of the package that they said offered too little protection for workers and too much potential for abuse by big business.",2,1
99,"When Representative Katie Porter tried to unseat Senator Mitch McConnell, the majority leader in Kentucky, last year, the ultraconservative Republican recruited a veteran Republican lobbyist to help him fight off potential campaign donors wary of foreign intervention in the workplace.",4,1
100,The pandemic is pushing millions of Americans into poverty and forcing many of the nation’s governors to shut their doors for the first time in months.,3,1
101,"The handshake came first. Then the high-five, fist bump and more recently, the elbow touch. Canadian researchers are now working on a new greeting, the CanShake.",0,0
102,The coronavirus crisis will take time to be solved by science. The economic crisis can be solved right now.,2,1
103,The American public health agency that is leading the nation’s vaccination effort announced on Tuesday that anyone who wants a vaccine may get one if they can.,1,1
104,Joseph R. Biden Jr. ran for president insisting that President Trump was an “aberration” who did not reflect the character or views of the American people.,0,0
105,"In Oregon, Gov. Kate Brown said the move toward reopening her state would be a cautious and incremental one, guided by data on transmission of the coronavirus, availability of personal protective equipment and testing capacity, among other factors.",4,1
106,"On the last Monday of June, as the coronavirus began to spread widely again in Newark, officials imposed New Jersey’s toughest new restrictions since the spring lockdown, mandating an 8 p.m. indoor closing time for all restaurants, bars and nonessential businesses citywide.",4,1
107,"Flooded by requests for help like never before, a federal disaster loan program that was supposed to deliver emergency relief to small businesses in just three days has run low on funding and nearly frozen up entirely. Now, business owners who applied are desperate for cash and answers about what aid, if any, they are going to receive.",2,1
108,"President Trump agreed on Tuesday to begin sending home 82nd Airborne Division troops he had ordered to Washington, temporarily easing a contentious standoff with the Pentagon over the role of the armed forces in quelling the pandemic.",1,1
109,"Facing a pandemic-driven unemployment rate at its highest level since the Great Depression, the Labor Department on Friday urged employers to give employees paid time off to get vaccinated and to reduce their exposure to the coronavirus.",2,1
110,"Unable to find a job after the pandemic hit, more than a quarter of young adults have used food stamps to supplement earnings while at home, according to a new analysis of census data by the Brookings Institution.",4,1
111,"After months of living under a strict lockdown in Italy, a closely gathered group of teenagers welcomed a warm evening this week at a verdant park in Milan, gazing at phone screens, embracing and forming a small circle around a playful dog. No one wore a mask.",0,0
112,"It was a late Sunday afternoon in April, a few days before the start of the Vikings’ home season, and a few dozen team officials and players were gathered at a table at the University of Minnesota football stadium.",4,1
113,"The United States has recorded its most coronavirus-related deaths over a weeklong period, as a brutal surge gathers speed across the country.",0,0
114,"Australian officials on Sunday imposed a five-day lockdown on the city of Perth, the capital of Western Australia, after the state reported a single case of community transmission of the coronavirus, the first in almost 10 months.",1,1
115,"As the coronavirus shook off most of the United States in the spring, the National Guard and National Guard military bases around the country were unprepared for the most trans-Atlantic mission in the conflict: the emergency response to the coronavirus outbreak.",4,1
116,"When he takes office on Thursday, President Trump will confront a sharply divided Congress where many Republicans argued that his election was fraudulent.",3,1
117,"When small businesses across the country rely on so-called reprieve from Hurricane Sandy, a new business opportunity presented itself with the greatest urgency of the pandemic. The administration, under pressure from Congress and officials in President Trump, agreed on Friday to begin restarting the economy.",4,1
118,"Republicans returned Representative Steve King, a nine-term congressman with a long history of racist remarks, to the House speakership on Sunday for the first time in more than two decades, handing him a vetted leader who can navigate the complexities of running a sprawling, complex institution with a caucus of allies who collectively amount to the largest group of lawmakers in the Senate.",1,1
119,"Troubling new signs that the coronavirus is spreading in the United States emerged on Friday, as cases not explained by overseas travel or contact with a person known to be infected were reported in California, Oregon and Washington State.",3,1
120,"A federal judge on Friday ordered the Los Angeles authorities to move thousands of homeless people away from freeways and their ramps because of the particularly deadly hazards in those areas, including pollutants, passing cars and potential earthquakes.",1,1
121,"When the pandemic hit and tens of millions of American workers suddenly redeployed to their basements and living rooms, it was easy to imagine that their workdays would unfold roughly as before, with communication tools like Slack and Zoom substituting for face-to-face interactions (and maybe with slightly greater multitasking opportunities).",3,1
122,"Calendar employees. Earls County. Homeless people in shelters. People traveling under contract to China to seek treatment for Covid-19. And the leader of a country’s largest Roman Catholic group blasted the decision, saying it violates the country’s prerogatives.",4,1
123,"Months after the inauguration of President Biden, One America News Network, a right-wing cable news channel available in some 35 million households, has continued to broadcast segments questioning the validity of the 2020 presidential election.",1,1
124,"There were 228,731 known cases of the coronavirus in the United States as of April 9, the CDC reported on Wednesday, an increase of 57 percent from the same time last week. The nation’s total virus count surpassed 400,000 on Wednesday, as the nation’s outbreak spiraled further out of control.",3,1
125,"The Senate overwhelmingly approved amendments on Wednesday to expand the government’s ability to track the spread of the coronavirus, advancing a proposal with barely any Republican support to ensure that the United States is ready for the first signs of the virus outbreak.",1,1
126,President Trump pressured the government’s top public health experts on Wednesday to water down recommendations for how the nation’s schools could reopen safely this fall and threatened to cut federal funding for districts that defied his demand to resume classes in person.,1,1
127,"When the pandemic struck, the majority of people who lost their jobs as a result of the coronavirus didn’t give up hope. Many still hoped for help and support from their regular paycheck to make it through the winter. But many others, watching the tens of millions of dollars that would be at risk of squandering through the coronavirus pandemic through no fault of their own, quietly worried about their financial futures.",4,1
128,"Alarmed at China’s stranglehold over supplies of masks, gowns, test kits and other front-line weapons for battling the coronavirus, countries around the world have set up their own factories to cope with this pandemic and outbreaks of the future.",3,1
129,"As the coronavirus has hopscotched the world, a paradox has emerged: Rich nations are not necessarily better at fighting the crisis than poorer ones.",3,1
130,"The United States, Europe and Japan are poised to launch a clinical first in the Trump administration to use an experimental antibody treatment to test an early promise of safety and revive the stalled vaccine development race: the first to give people the first dose of a clinically authorized, fully tested vaccine.",3,1
131,"In a race to defray the costs of the coronavirus, the Trump administration borrowed heavily from China to make up for losses from the early weeks of the pandemic, first by providing aid to a sister state and then by landing a corporate raider overseas.",4,1
132,The European Central Bank joined other central banks Thursday in taking forceful action to prevent the spread of the coronavirus from undermining the global economy. But the bank disappointed expectations it would cut interest rates as the eurozone hurtles toward recession.,1,1
133,"Tom Moore, the redoubtable 100-year-old Army veteran whose charity walks in the past year raised tens of millions of dollars for British hospitals and made him a national symbol of pluck in a country ravaged by the coronavirus pandemic, died on Tuesday.",2,1
134,"The Covid-19 vaccine program, which aims to end the world’s longest pandemic, has been plagued by technical snafus, missed deadlines and cumbersome financial commitments.",3,1
135,"Homes are often lumped in with the nation’s neglected War on Poverty, and yet large numbers of recipients of the $800 billion a month assistance are struggling to keep the lights on and food on the table.",4,1
136,"In the fight against the coronavirus, the Trump administration has been making risky calculations to avoid the brunt of an outbreak that is threatening to wash over the Republican Party and America’s politics.",3,1
137,An independent committee of experts advising the Centers for Disease Control and Prevention voted on Saturday to endorse a second coronavirus vaccine for use in the United States.,3,1
138,"At the University of Tennessee at Milledgeville, workers have tested positive for the coronavirus. At Arizona State University, students are trying to prevent a repeat of the outbreak by enrolling in a vaccine. Hoosiers, who may or may not have had close contact with a student who tested positive, are grappling with how to avoid bringing the virus home. At Louisiana Tech, administrators have faced demands to cut ties to the school’s Greek life, dual-language classes and the cost of caring for students with the campus outbreak.",4,1
139,"Australians flown home from Wuhan, China, will be quarantined on an island for two weeks. Americans, also evacuated from Wuhan, will be “temporarily housed” on an air base in California. And in South Korea, the police have been empowered to detain people who refuse to be quarantined.",3,1
140,"This week I had the opportunity speak to Dr. Bonnie Henry. Before coronavirus and Covid-19 had entered my vocabulary, I had never heard of British Columbia’s provincial health officer.",0,0
141,"As ​the long Syrian war drags into its 10th year, conditions for Syrian civilians ​are ​deteriorating​ quickly, with rapid inflation and the coronavirus pandemic adding to their​ travails​. ​On Tuesday, donors met virtually in Brussels at a conference hosted by the European Union and United Nations to try to find the money to keep the poorest Syrians alive.",0,0
142,"The Secret Service’s uniformed officer division has sustained a coronavirus outbreak, according to four people briefed on the matter, the latest blow to a beleaguered agency that has struggled to perform its duties during the pandemic.",1,1
143,"President Trump retreated Sunday from his desire to relax coronavirus guidelines by Easter, announcing instead that all Americans must continue to avoid nonessential travel, going to work, eating at bars and restaurants, or gathering in groups of more than 10 for at least another month and perhaps until June.",0,0
144,"The 4-year-old boy was first placed on a stretcher. Then he was put on a ventilator. A life-size replica of the Statue of Liberty was donated to illustrate the severity of the virus that has sickened more than 28,000 people in a pandemic that has killed more than 3,600. A crowd of about 70,000 people thronged the Lincoln Memorial, the most famous place in the nation’s capital, on the last weekend in remembrance of fallen military members.",1,1
145,"On the eve of accepting the Republican nomination for president four years ago, Donald J. Trump declared that he would pull out of NATO if American allies did not pay more for their defense, gestures that signaled a sharply increased willingness to challenge the alliance’s economic realities and the Trump campaign’s long-held belief that American influence could be undermined by Beijing.",3,1
146,"Economists and deficit hawks have warned for decades that the United States was borrowing too much money. The federal debt was ballooning so fast, they said, that economic ruin was inevitable: Interest rates would skyrocket, taxes would rise and inflation would probably run wild.",0,0
147,"Democrats set the stage for a sweep of eight Republican controlled seats in Oregon’s State Senate Tuesday, as the party prepared to level congressional attack after the deadly spread of the coronavirus in the state.",4,1
148,One of the nation’s largest egg producers has been accused by New York authorities of raking in $4 million in illegal revenue by gouging customers with exorbitantly high prices when the state was grappling with rising coronavirus cases.,4,1
149,The nervous system controlling Fiona Wannas’s heart rate was her lungs. An experimental Coxon laser had just been administered to treat two coronavirus patients at Methodist Hospital in New York.,4,1
150,"The Supreme Court agreed on Friday to review two major Trump administration immigration initiatives, adding them to a docket now crowded with cases that will test President Trump’s agenda and policies.",4,1
151,"In late January, as the Texas Republican Party was shifting into campaign mode, it unveiled a new slogan, lifting a rallying cry straight from a once-unthinkable source: the internet-driven conspiracy theory known as QAnon.",4,1
152,"Typhoon Goni, which made landfall in the Philippines with intense winds early on Sunday morning, by the end of the day appeared to have spared the area in and around the capital Manila, with its 13 million residents.",3,1
153,"Two weeks ago, as the coronavirus pandemic was taking hold, many Americans were worried about the country’s future. As the outbreak continued to rage, many worried about the health care system, schools and restaurants would collapse, the US economy would suffer a recession or a shutdown, and the burden would fall on commuters and businesses.",1,1
